block,week,odds,target,pnl,sport
3,202606,2.7,1,1.7000000000000002,Soccer
3,202606,5.88,0,-1.0,CS2
3,202606,2.0,0,-1.0,CS2
3,202606,2.0,0,-1.0,CS2
3,202606,1.8,1,0.8,Basketball
3,202606,43.6838,0,-1.0,Basketball
3,202606,1.95,0,-1.0,Super Bowl LX
3,202606,1.5,1,0.5,Tennis
3,202606,1.89,1,0.8899999999999999,Soccer
3,202606,1.9,0,-1.0,Basketball
3,202606,1.95,1,0.95,Basketball
3,202606,1.85,0,-1.0,Basketball
3,202606,1.9,1,0.8999999999999999,Basketball
3,202606,1.9,1,0.8999999999999999,Soccer
3,202606,1.93,0,-1.0,Basketball
3,202606,1.93,0,-1.0,Basketball
3,202606,1.93,0,-1.0,Basketball
3,202606,8.1982,0,-1.0,Soccer
3,202606,2.05,1,1.0499999999999998,Soccer
3,202606,2.05,1,1.0499999999999998,Soccer
3,202606,1.85,1,0.8500000000000001,Basketball
3,202606,1.9,1,0.8999999999999999,Basketball
3,202606,1.95,0,-1.0,Soccer
3,202606,172.4092,0,-1.0,Soccer
3,202606,2.0,1,1.0,Soccer
3,202606,2.85,1,1.85,Basketball
3,202606,2.0,1,1.0,Soccer
3,202606,95.1151,1,94.1151,Soccer
3,202606,71.4516,1,70.4516,Soccer
3,202606,79.4315,1,78.4315,Soccer
3,202606,107.3399,1,106.3399,Soccer
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.95,1,0.95,Basketball
3,202606,1.95,1,0.95,Soccer
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.95,0,-1.0,Basketball
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,101.0,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
3,202606,1.9,0,-1.0,Super Bowl LX
4,202607,1.4,1,0.3999999999999999,Tennis
4,202607,32.0659,0,-1.0,Soccer
4,202607,6.8876,0,-1.0,Soccer
4,202607,2.0,0,-1.0,Soccer
4,202607,6.0074,0,-1.0,Soccer
4,202607,1.9,0,-1.0,Super Bowl LX
4,202607,3.705,0,-1.0,Soccer
4,202607,2.2,1,1.2000000000000002,Super Bowl LX
4,202607,1.65,1,0.6499999999999999,League of Legends
4,202607,1.65,0,-1.0,League of Legends
4,202607,2.4,1,1.4,League of Legends
4,202607,1.85,0,-1.0,Super Bowl LX
4,202607,2.0,1,1.0,Tennis
4,202607,2.45,0,-1.0,Soccer
4,202607,24.4541,0,-1.0,Soccer
4,202607,26.7013,0,-1.0,Soccer
4,202607,1.35,1,0.3500000000000001,Tennis
4,202607,1.3,1,0.30000000000000004,Tennis
4,202607,1.42,1,0.41999999999999993,Dota 2
4,202607,1.4,1,0.3999999999999999,Tennis
4,202607,1.3,1,0.30000000000000004,Tennis
4,202607,1.86,1,0.8600000000000001,Rugby
4,202607,1.65,0,-1.0,League of Legends
4,202607,1.45,1,0.44999999999999996,Tennis
4,202607,1.35,1,0.3500000000000001,Tennis
4,202607,1.9,0,-1.0,League of Legends
4,202607,1.45,0,-1.0,Tennis
4,202607,1.45,1,0.44999999999999996,Table Tennis
4,202607,1.45,1,0.44999999999999996,Tennis
4,202607,1.27,1,0.27,Cricket
4,202607,1.62,1,0.6200000000000001,CS2 Duels
4,202607,1.45,0,-1.0,Table Tennis
4,202607,5.5805,0,-1.0,Soccer
4,202607,1.65,1,0.6499999999999999,NBA2K
4,202607,1.68,0,-1.0,NBA2K
4,202607,1.45,1,0.44999999999999996,Tennis
4,202607,1.82,0,-1.0,Valorant
4,202607,1.4,0,-1.0,Tennis
4,202607,55.0927,0,-1.0,Soccer
4,202607,1.55,1,0.55,Tennis
4,202607,1.45,1,0.44999999999999996,League of Legends
4,202607,1.8,1,0.8,Basketball
4,202607,1.55,1,0.55,Tennis
4,202607,2.2,0,-1.0,Tennis
4,202607,1.9,1,0.8999999999999999,Soccer
4,202607,1.8,1,0.8,Soccer
4,202607,1.65,0,-1.0,Tennis
4,202607,1.3,0,-1.0,Basketball
4,202607,2.25,1,1.25,Table Tennis
4,202607,1.45,0,-1.0,Tennis
4,202607,1.65,0,-1.0,Tennis
4,202607,1.49,0,-1.0,Tennis
4,202607,63.3587,0,-1.0,Soccer
4,202607,1.86,1,0.8600000000000001,Soccer
4,202607,3.6075,0,-1.0,Soccer
4,202607,2.0,0,-1.0,Soccer
4,202607,4.3785,0,-1.0,Soccer
4,202607,1.45,1,0.44999999999999996,Tennis
4,202607,2.1,1,1.1,League of Legends
4,202607,60.5244,0,-1.0,Soccer
4,202607,59.7923,0,-1.0,Soccer
4,202607,1.81,1,0.81,Soccer
4,202607,118.6797,0,-1.0,Soccer
4,202607,62.2964,1,61.2964,Soccer
4,202607,89.9261,0,-1.0,Soccer
4,202607,1.45,1,0.44999999999999996,Tennis
4,202607,1.4,1,0.3999999999999999,Tennis
4,202607,1.65,0,-1.0,Tennis
4,202607,1.6,1,0.6000000000000001,Tennis
4,202607,1.95,1,0.95,Soccer
4,202607,3.1265,1,2.1265,Soccer
4,202607,40.4462,0,-1.0,Soccer
4,202607,2.05,0,-1.0,Soccer
4,202607,1.73,1,0.73,Soccer
4,202607,1.73,1,0.73,Soccer
4,202607,2.05,1,1.0499999999999998,Soccer
4,202607,1.6,0,-1.0,Soccer
4,202607,1.6,0,-1.0,Soccer
4,202607,1.6,0,-1.0,Tennis
4,202607,1.95,1,0.95,Tennis
4,202607,2.75,1,1.75,Tennis
4,202607,2.9415,0,-1.0,Soccer
4,202607,1.85,1,0.8500000000000001,Soccer
4,202607,1.75,0,-1.0,Tennis
4,202607,1.6,0,-1.0,Tennis
4,202607,1.6,0,-1.0,Tennis
4,202607,1.85,1,0.8500000000000001,Soccer
4,202607,1.85,1,0.8500000000000001,Soccer
4,202607,1.4,1,0.3999999999999999,Dota 2
4,202607,1.4,1,0.3999999999999999,Dota 2
4,202607,1.94,1,0.94,Soccer
4,202607,1.85,1,0.8500000000000001,Soccer
4,202607,2.1,1,1.1,Soccer
4,202607,2.1,1,1.1,Soccer
4,202607,1.6,0,-1.0,Soccer
4,202607,1.85,1,0.8500000000000001,CS2
4,202607,52.6125,0,-1.0,Soccer
4,202607,5.7048,0,-1.0,Soccer
4,202607,19.3968,0,-1.0,Soccer
4,202607,1.73,1,0.73,Soccer
4,202607,1.75,1,0.75,Soccer
4,202607,55.0378,0,-1.0,Soccer
4,202607,41.8071,1,40.8071,Soccer
4,202607,1.45,1,0.44999999999999996,Tennis
4,202607,1.35,1,0.3500000000000001,Tennis
4,202607,293.4225,0,-1.0,Soccer
4,202607,1.85,1,0.8500000000000001,Tennis
4,202607,1.85,0,-1.0,Soccer
4,202607,1.9,0,-1.0,Soccer
4,202607,1.55,0,-1.0,Tennis
4,202607,1.85,1,0.8500000000000001,Soccer
4,202607,1.52,1,0.52,Soccer
4,202607,27.2,0,-1.0,Soccer
4,202607,16.0851,0,-1.0,Soccer
4,202607,1.52,1,0.52,Soccer
4,202607,1.44,1,0.43999999999999995,Tennis
4,202607,101.8875,0,-1.0,Soccer
4,202607,2.0,0,-1.0,Soccer
4,202607,1.73,1,0.73,Soccer
4,202607,49.4962,0,-1.0,Soccer
4,202607,1.95,1,0.95,Soccer
4,202607,3.567,1,2.567,Soccer
4,202607,1.85,1,0.8500000000000001,Tennis
4,202607,55.0074,0,-1.0,Soccer
4,202607,1.5,1,0.5,Dota 2
4,202607,39.1169,0,-1.0,Soccer
4,202607,1.73,1,0.73,Soccer
4,202607,1.4,1,0.3999999999999999,Dota 2
4,202607,2.7,1,1.7000000000000002,Soccer
4,202607,1.6,1,0.6000000000000001,Soccer
4,202607,1.4,1,0.3999999999999999,Valorant
4,202607,1.5,1,0.5,Soccer
4,202607,1.73,1,0.73,Soccer
4,202607,3.0,0,-1.0,Soccer
4,202607,18.2237,0,-1.0,Soccer
4,202607,1.44,1,0.43999999999999995,Tennis
